Адрес обращения,Дом,Дата,текст обращения,street
улица Мичмана Павлова,74,2021-06-12 18:36:11.114,"Напротив нашего дома на асфальте долго держится большая лужа. Людям трудно пройти, особенно страдают дети. Дорога в школу получается непроходимой и опасной. ",асфальтовая дорожка
улица Совхозная (п Лапсары),11,2021-06-10 06:54:43.581,"Тротуар возле 11 дома по улице Совхозная.
Срубить высокие деревья.",аллея
проспект Мира,12,2021-06-04 21:41:55.807,Ремонт крыши,пандус
улица Эльгера,34,2021-06-12 14:46:40.359,Благоустройство детской площадки. ,детский городок
улица Парковая,9,2021-06-14 19:39:48.561,"Облагородить территорию кадетского лицея, обновить асфальтированные дорожки",детский городок
бульвар Приволжский,4 корп. 1,2021-06-07 16:51:47.247,"Укрепить склон оврага в Волжском районе
Улучшить, продлить время работы общественного транспорта до 23:00
",освещение
улица Мичмана Павлова,68,2021-06-06 15:16:11.189,Чтобы заслуженную дали пенсию. Подешевле сделать лекарства и ЖКХ услуги. Выделять путевки в санаторий бесплатно ветеранам труда и обеспечивать выдачу путевок. ,лавочка
улица Короленко,22 корп. 1,2021-06-05 23:41:12.747,"дорогу вдоль гаражей
дет.поликлинику",детский городок
улица Гузовского,28,2021-06-05 10:49:57.046,Сделать аллею возле школы № 29. По адресу  ул. Гузовского 28 спилить ветки у деревьев.,аллея
улица Энгельса,48,2021-06-14 20:35:59.272,"настоятельно просим отремонтировать придомовый тротуар 
благоустроить дворы",освещение
улица Советская,75,2021-06-08 22:50:56.535,Пустой,место тихого отдыха
бульвар А.Миттова,14,2021-06-12 04:20:25.141,"Убрать гаражи по адресу б-р Миттова 14
Спортплощадка около школы 64",спортивная площадка
улица Байдула,5,2021-06-07 21:02:56.419,Просьба создать контейнерную площадку для утилизации крупногабаритного мусора.,сквер
улица Винокурова,61,2021-06-08 18:57:27.021,"Нет парковочных мест возле дома. Не отремонтирована тротуарная дорожка от ""Нарспи"" до роддома. Нет настила на детской площадке ",зелёные насаждения
проспект Мира,35,2021-06-08 20:34:31.327,сделать дорогу и тратуар по пр мира,лавочка
улица Университетская,5,2021-06-15 14:51:58.149,"Обустройство дет. площадки, убрать пустующий гараж со двора, контроль за уборкрй в подъезде",детский городок
улица Строителей,6,2021-06-14 22:36:11.657,детскую площадку и дороги ,детский городок
улица Винокурова,61,2021-06-08 17:35:07.177,"Нет настила на детской площадке.
Мало качелей на детской площадке, нет прогулочной дорожки.
Нет парковочных мест.",детский городок
улица Шумилова,13,2021-06-11 22:24:11.704,Ремонт асфальта возле подъездов.. Ремонт дорог вдоль дома.,асфальтовая дорожка
улица Гагарина Ю.,15 корп. 1,2021-06-07 17:06:30.752,"просим посодействовать в приведение в порядок территории за домом №15 корп 1. Оращение в 2019 году в администрации Ленинской р-на не чего не дало. Безобразие за домом силами жильцов невозможно ликведировать. администрация р-на не заглядывает на территори за домом . Обращаемся к вам как к нашему депутату , надеемся на содействия ",освещение
улица Космонавта Николаева А.Г.,39,2021-06-05 11:44:27.316,Парковка,парк
бульвар А.Миттова,7 корп. 1,2021-06-11 14:18:07.193,"Во дворе дома по адресу б-р Миттова 7к1 нет хорошей детской площадки.
Нет качель, детей много.
Отремонтировать дорогу при заезде к нашему дому",детский городок
улица Композитора Максимова,9,2021-06-05 22:11:22.205,"дет.площадку, спортивные тренажеры",спортивная площадка
улица Пролетарская,5,2021-06-07 21:27:30.303,Плохо работает лифт,пандус
улица Пролетарская,5,2021-06-05 21:38:15.728,Лифт плохо работает,пандус
улица Хевешская,27,2021-06-13 20:10:43.713,благоустроить котлован под спортивную-игровую  площадку для взрослых и детей ,игровая площадка
улица Богдана Хмельницкого,123,2021-06-07 22:44:10.104,"работать для народа, поднять пенсию",пандус
улица Строителей,23 корп. 1,2021-06-05 10:43:23.925,"Сад во дворе не нужен. Нужна спортивная площадка, игровой комплекс.",спортивная площадка
улица И.П.Прокопьева,16,2021-06-09 00:00:26.893,"Автомойка, набережная",спортивная площадка
проспект Тракторостроителей,83,2021-06-09 23:56:58.118,-,освещение
улица Советская,75,2021-06-11 23:34:41.357,Парковку,парк
улица П.В.Дементьева,18 корп. 4,2021-06-08 10:01:06.157,"школу достроить, и парки",парк
бульвар А.Миттова,39,2021-06-12 10:55:23.399,"Нет парка для отдыха, дороги плохие",место тихого отдыха
улица Советская,77,2021-06-08 23:36:03.878,Парковку,парк
улица Хевешская,1 корп. 1,2021-06-08 19:48:05.339,"нет детской площадки кругом машины , детям негде гулять",место тихого отдыха
улица Родниковая,32,2021-06-06 14:46:25.684,Просим вас оказать содействие с оформлением земельных участков под своими жилыми домами и придомовой территории.,аллея
улица Кукшумская,9,2021-06-11 20:47:30.176,"заасфальтировать  тротуар от Кукшумской до остановки ""ботанический сад"".",асфальтовая дорожка
улица Винокурова,4,2021-06-14 13:49:08.449,Благоустройство детской площадки,детский городок
улица Калинина,102 корп. 3,2021-06-06 21:11:22.777,Уборка подъезда,пандус
бульвар А.Миттова,20,2021-06-12 03:54:05.159,Увеличить зп рабочим,пандус
улица Водопроводная,22,2021-06-08 14:37:26.143,"На парковке перед домом на ул. Водопроводная 22 был возведен незаконный объект, при строительстве которого произошло затопление подземных гаражей. Жители против возведения данного объекта.
Благоустройство и озеленение дворовой территории по адресу ул. Водопроводная 22.",зелёные насаждения
улица 50 лет Октября,22,2021-06-05 10:22:00.043,Детская площадка во дворе,детский городок
улица Ленинского Комсомола,36,2021-06-08 20:54:32.455,"Детская площадка во дворе
Ремонт крыши",детский городок
улица Николая Гастелло,13,2021-06-08 17:57:15.133,Поменять окна на пластиковые,пандус
улица Совхозная (п Лапсары),11,2021-06-10 07:05:48.479,Знак для запрета заезда большегрузов.,пандус
улица Винокурова,4,2021-06-14 13:37:45.997,"Благоустройство двора, подъездных путей и тротуаров нет, нужен ремонт в подъезде",освещение
улица Винокурова,4,2021-06-14 13:36:12.671,Убрать ямы под окнами,освещение
улица Ахазова,2,2021-06-12 16:47:42.623,Сделать дороги лапсарский проезд. ,аллея
проспект Максима Горького,26,2021-06-04 10:31:35.893,"Волнует проблема образования, не хватает молодых педагогов, т.к. низкий уровень заработной платы. Проблема в области здравоохранения - хорошие специалисты уезжают в другие регионы, т.к. зарплата маленькая.",пандус
улица Короленко,22 корп. 1,2021-06-05 23:35:33.395,ремонт тротуара (двор),асфальтовая дорожка
улица П.В.Дементьева,18 корп. 2,2021-06-08 10:21:43.018,"построить школу, парк",парк
улица Гагарина Ю.,45,2021-06-07 02:29:56.856,Поставить запрещающий знак вдоль дороги 45 дома,пандус
улица Чернышевского,27,2021-06-07 22:18:18.453,"Просьба установить камеры на каждом подъезде, так как везде во дворах бегают дети, а машины во дворах летают",детский городок
улица Кадыкова,4,2021-06-12 19:19:08.622,"Бесплатная медицина. Отремонтировать детские площадки,двор.",детский городок
"улица д. Чандрово, ул. Чандровская",84,2021-06-11 00:15:13.705,"Отремонтировать дорогу и построить тротуар, поставить аптечный павильон",пандус
проспект Тракторостроителей,81,2021-06-07 22:19:44.296,Обновить детскую площадку,детский городок
проспект Тракторостроителей,81,2021-06-05 23:48:00.824,Обновить детскую площадку,детский городок
улица Ашмарина,34А,2021-06-05 21:23:20.792,"Обустроить детские, спортивные площадки.",спортивная площадка
улица Хузангая,28,2021-06-11 19:12:26.693,"Отремонтировать садик, детскую площадку, улучшить дороги.",детский городок
улица Хузангая,28,2021-06-11 18:43:47.602,"На стадионе ""Трактор"" установить тренажеры",спортивная площадка
улица Санаторная,2,2021-06-06 01:25:39.273,"Открыть отделение Сбербанка в Заволжье
Информационно-культурные центры в каждом поселке",детский городок
проспект Мира,92,2021-06-09 12:09:29.667,"Улучшить дорогу, детская площадка.",детский городок
улица Ашмарина,34,2021-06-05 22:43:04.595,Открыть баню. Отремонтировать дороги.,освещение
улица Ашмарина,34,2021-06-05 22:41:55.269,Построить спортивные и детские площадки.,спортивная площадка
улица Энгельса,44,2021-06-07 19:52:23.051,"1. ремонт подьездов
2. установить парковочные места
3.ремонт крыши ",парк
улица Ленинского Комсомола,76,2021-06-08 16:23:33.791,Увеличить пенсию по инвалидности. Доступные лекарства.,сквер
проспект Мира,23,2021-06-09 00:05:34.464,"сделать дороги, площадки
хаккейную коробку",брусчатка
улица Эльменя,3,2021-06-07 15:21:37.338,"просьба сделать дорогу перед подъездом 4, и фасад подъезда отремонтировать",пандус
бульвар Юности,4,2021-06-09 09:34:50.777,Нужно обновить детскую площадку и дорогу,детский городок
улица Эльменя,34,2021-06-04 22:32:52.695,"школа, детские площадку, футбольную коробку",детский городок
улица Энгельса,48 корп. 1,2021-06-15 00:11:22.288,"отремонтировать дорогумвозле дома

нет парковки",место тихого отдыха
улица Советская,67,2021-06-11 23:20:10.027,Желаем чтобы именно Ольга Исааковна была у нас! Очень просим Вас благоустроить наш двор! Хотим спортивную площадку!,спортивная площадка
улица П.В.Дементьева,22,2021-06-09 11:21:16.998,дет.площадку ,детский городок
улица Ахазова,11,2021-06-07 11:46:13.792,Коммунальные услуги понизить. ,пандус
проспект Мира,36,2021-06-06 19:13:13.012,"Улучшение козырька
Ремонт в подъезде
Поставить скамейки
",пандус
улица Энтузиастов,23,2021-06-06 21:48:13.904,асфальт около 1 подъезда,брусчатка
улица Н.Сверчкова,15,2021-06-04 15:46:11.963,Отремонтировать спуск к реке Волге от Волжского-2 к пляжу.,пандус
улица Винокурова,29,2021-06-06 20:58:16.120,"Проверить вентиляцию кафе и пекарни, запах поднимается в квартиры",освещение
улица Эльгера,12,2021-06-06 21:10:45.399,Сделать детскую площадку как в Волжском -3.,детский городок
улица Афанасьева,19,2021-06-04 22:34:24.682,Открыть маршрутный транспорт по улице Афанасьева.,пандус
улица Хузангая,27,2021-06-12 20:49:50.152,Установить дет. площадку,детский городок
улица Гражданская,109,2021-06-11 11:50:47.169,Во дворе нашего дома нужна детская площадка для детей разного возраста,детский городок
проспект Максима Горького,38/2,2021-06-04 15:35:17.075,"по адресу пр-кт. Максима Горького 38/2 установить спортивную площадку, сделать футбольное поле.",спортивная площадка
бульвар Зеленый,2,2021-06-06 20:25:37.214,Нужна парковка!,парк
улица Ленинского Комсомола,23 корп. 3,2021-06-08 19:41:31.056,Установка пандуса-подъемника,пандус
проспект Тракторостроителей,81,2021-06-07 22:17:15.024,Хорошую детскую площадку,детский городок
проспект Тракторостроителей,81,2021-06-05 23:40:28.030,Обустроить детскую площадку,детский городок
проспект Мира,76,2021-06-08 09:15:20.123,"Темно в подьезде, проводку поменять.",навигация
проспект Мира,76,2021-06-08 09:23:35.269,"Замена лифта, запрет продажи алкогольной и табачной  продукции по адресу пр. Мира д 76 на 1 этаже. Улучшение детской игровой площадки на территории д. 72-д. 76.",игровая площадка
улица Молодежная,7,2021-06-07 18:40:18.881,"Закрыть кафе круглосуточное по ул.Терешкова 6а, много во дворе бездомных собак",место тихого отдыха
улица Социалистическая,2,2021-06-11 02:05:50.646,"Увеличить число бюджетных мест в ВУЗах республики.
Открыть отделение Сбербанка в микрорайоне.
Благоустроить парк перед заводом им.Чапаева",парк
проспект Тракторостроителей,39,2021-06-12 05:44:17.104,"Детская площадка, отопление",детский городок
проспект Тракторостроителей,39,2021-06-12 04:49:01.233,"Построить школу и детскую поликлинику в мкр ""Солнечный""",детский городок
улица Шумилова,11,2021-06-11 23:28:48.744,"отремонтировать дорогу от остановки ""Шумилова"" до ""Магнита"" мимо аптеки",освещение
улица Кадыкова,13,2021-06-08 11:19:27.505,Нужна площадка для выгула собак.,аллея
улица Солнечная,5,2021-06-12 20:16:55.377,"Ремонт в подъезде, скамейки на детской площадке, наружные отмостки ",детский городок
бульвар Юго-Западный,17,2021-06-11 14:45:14.410,Просим обновить детскую площадку,детский городок
улица Перова,3,2021-06-05 19:21:47.823,Ремонт уличной дороги.,освещение
проспект Тракторостроителей,24,2021-06-05 20:38:42.748,"Благоустройство вокруг дома, детская площадка.",детский городок
проспект Ленина,56,2021-06-13 17:00:01.169,"спортивную детскую площадку
тратуар",спортивная площадка
улица Кукшумская,5 корп. 1,2021-06-11 19:50:10.343,"Побольше парковочных мест, некуда ставить машину.",парк
улица Кукшумская,17,2021-06-11 15:11:27.358,Сделать тротуары во дворе.,пандус
проспект Мира,82,2021-06-08 21:49:43.686,"Провода в секции давно не были заменены, служба электриков не реагируют. Счетчики на воду на кухне не ставятся.",освещение
улица Хузангая,40,2021-06-11 17:26:37.889,Ремонт асфальта во дворе.,асфальтовая дорожка
улица 2-я Привосточная,104,2021-06-09 00:52:39.829,Согласна с выбором кандидата,освещение
улица Энтузиастов,35,2021-06-11 13:15:03.036,"Детскую площадку во дворе дома Энтузиастов,35",детский городок
улица Заводская,10,2021-06-08 07:06:15.162,"Почему в Ивановском микрорайоне не благоустраивают район.
Дороги, тротуары, сделать сквер для отдыха",сквер
улица Советская,34,2021-06-14 21:13:57.995,"Нужен капремонт, нет горячего водоснабжения в полотенцесушителях",брусчатка
улица Советская,59,2021-06-08 21:50:27.865,Ремонт подъезда в доме №59 ул. Советская не было ремонта ни разу!!! Требуем!,аллея
улица Чернышевского,17 корп. 2,2021-06-08 12:05:50.114,Прямой маршрут Финская долина - п.о Чапаева,пандус
улица Короленко,6,2021-06-05 22:32:36.481,снизить тариф ЖКХ,лавочка
улица 50 лет Октября,14,2021-06-07 19:23:33.120,"Льготные лекарства
Повышение пенсии
Санаторно-курортное лечение",сквер
улица Университетская,28,2021-06-09 12:51:29.064,Поднимите пенсию.  ,пандус
улица 2-я Привосточная,16А,2021-06-09 00:39:50.978,-,освещение
улица Кадыкова,17,2021-06-08 20:42:20.087,"Ремонт придомовой территории, установка детских площадок ",детский городок
улица Советская,65,2021-06-08 21:29:40.726,Ремонт дороги к детскому саду №7,детский городок
улица 324 Стрелковой дивизии,21,2021-06-14 18:28:41.337,"Нужен ремонт придомовой территории ( ремонт тротуаров, около подъезда ступени)",аллея
улица Калинина,110,2021-06-07 17:32:21.780,Детская площадка,детский городок
улица Чернышевского,29,2021-06-07 23:03:38.843,Установить банкомат,пандус
улица Советская,75,2021-06-08 23:14:17.528,"1. Установить вторую скамейку
2. Установить спортивн. снаряды.",спортивная площадка
улица Совхозная (п Лапсары),25,2021-06-10 12:13:46.244,В поликлинике п. Новые Лапсары просим принимать анализы и привозить результаты,сквер
улица Родниковая,2,2021-06-06 14:33:24.204,Просим вас оказать содействие с оформлением земельных участков под своими жилыми домами и придомовой территории.,аллея
улица Терешковой,8,2021-06-09 23:35:36.121,Нет бордюров,зелёные насаждения
улица Ленинского Комсомола,40А,2021-06-08 19:04:56.400,Повышение пенсии,сквер
улица Коммунистическая,26,2021-06-09 10:27:13.867,-,освещение
улица Алексея Талвира,20,2021-06-04 15:44:08.444,Благоустроить дороги.,освещение
проезд Складской,14,2021-06-04 19:29:03.565,"Ремонт дорог
Освещение улиц",освещение
бульвар Эгерский,41,2021-06-12 22:11:30.796,Сделать дорогу перед подъездом,пандус
улица Советская,36,2021-06-14 20:25:57.598,Провести ремонт дорог,освещение
бульвар А.Миттова,29,2021-06-11 09:50:35.528,"Поднять уровень чистоты в ЮЗР
Парк для отдыха, прогулок с детьми
ТЦ как МТВ",общественный туалет
улица Богдана Хмельницкого,49,2021-06-07 21:33:01.067,дет.площадку,детский городок
улица Димитрова,18,2021-06-09 01:22:58.256,"Заменить трубу в подъезде, протекает. Капитальный ремонт в доме. Починить дороги. Сделать детскую площадку",детский городок
улица Привосточная,12Д,2021-06-09 23:05:44.998,-,освещение
"улица д. Чандрово, ул. Чандровская 2-я",1,2021-06-10 20:42:24.207,"Дорога плохая
Канализация никакая
Уличное освещение плохое",освещение
улица Эльгера,28,2021-06-08 22:22:38.032,"установить детскую площадку во дворе домов Эльгера 28, 30, 32",детский городок
улица Гагарина Ю.,41,2021-06-07 02:17:20.254,Детская площадка,детский городок
улица Т.Кривова,20,2021-06-03 22:54:05.901,"Опечатана и пустует кв. №79 по адресу ул. Кривова дом 20. Нет доступа в квартиру, оттуда невозможный запах, мыши, тараканы по всему подъезду.",аллея
улица Комсомольская,17,2021-06-14 21:07:47.652,"Нет скамеек, яма около мусорки",место тихого отдыха
бульвар А.Миттова,25,2021-06-11 11:30:57.013,Прошу установить около нашего дома терминал Сбербанка,пандус
улица Коммунистическая,22,2021-06-07 19:04:07.133,Благоустроить двор до конца,пандус
улица Советская,65,2021-06-08 21:16:50.093,Благоустройство детских площадок,детский городок
проспект Максима Горького,9,2021-06-03 22:14:19.032,"Протекает крыша по адресу  пр-кт. Максима Горького дом 9 (9 этаж, уже 5 лет).",сквер
улица Прогрессивная,11,2021-06-08 15:04:17.039,"Аптека, банк, почта ",лавочка
улица Космонавта Николаева А.Г.,48,2021-06-07 12:42:42.115,"Благоустройство территории
Детская площадка",детский городок
проспект Ленина,49,2021-06-07 21:46:44.588,освещения во дворе ,освещение
улица Энгельса,38,2021-06-07 20:06:01.459,"1. ремонт крыши дома
2. ремонт фасада дома ",пандус
улица Парковая,37,2021-06-14 20:37:11.646,"Просьба о помощи в проведении ремонта и замене окон на этажах общежития, т.к живут в антисанитарных условиях",детский городок
улица Университетская,7,2021-06-07 11:15:13.605,"Ремонт в подъезде, парковка. ",парк
улица Чернышевского,19,2021-06-08 12:03:05.785,Новую школу в ФД,освещение
проспект Мира,88Б,2021-06-09 13:14:45.673,Благоустройство территории около дома пр. Мира д 88Б.,аллея
бульвар Юности,10,2021-06-08 18:54:31.722,Увеличить зарплаты. Увеличение пособий на детей,пандус
проспект Мира,23,2021-06-09 00:08:33.160,дороги и дворы чинить,пандус
улица Комсомольская,12,2021-06-14 18:35:32.179,"Придомовая территория, детская площадка ",детский городок
улица Гражданская,62/1,2021-06-12 03:34:25.047,Ремонт дороги,пандус
улица Энгельса,12,2021-06-04 15:09:33.223,"Хотелось бы ,чтобы улучшили детскую площадку и увеличили площадку.",детский городок
улица Энгельса,12,2021-06-07 19:14:01.700,"Мало парковочных место, нужно больше.",парк
улица Мичмана Павлова,58,2021-06-13 14:55:41.978,Обустроить детскую площадку возле дома,детский городок
улица Винокурова,61,2021-06-08 18:17:35.815,"Нет пешеходной дорожки со стороны ""Нарспи""",сквер
улица Советская,77,2021-06-08 22:41:45.537,"Детская площадка, асфальт со стороны сзади дома обещают сделать много лет.",детский городок
бульвар Речной,4 корп. 1,2021-06-12 21:37:07.151,"Ремонт школы №11, рядом ремонт дороги по речному бульвару (параллельно дороги)
Благоустроить пляж
Нет пешеходных переходов возле храма и от Речного бульвара д.4 корпус 1 до ТД Пятерочка",аллея
улица Богдана Хмельницкого,3А,2021-06-17 13:24:52.383,Капитальный ремонт дома.,брусчатка
улица Строителей,25,2021-06-05 16:52:59.962,ул. Советская - проезжая часть на выезде в Чебоксары. Не отключать горячую воду,аллея
улица Винокурова,75,2021-06-12 13:17:28.155,Хотелось бы отремонтировать внутридворовую дорогу и прилегающую территорию к дому №75 по ул. Винокурова. Очень плохая дорога.,аллея
улица Спиридона Михайлова,1,2021-06-12 20:19:43.877,Дороги,пандус
улица Дунаевского,6,2021-06-15 11:38:22.260,Отремонтировать дорогу по улице Дунаевского.,освещение
проспект Максима Горького,31,2021-06-04 10:38:42.645,"Я инвалид 3 группы, пенсионер. Сбежал от своего сына Елизарова Андрея Анатольевича, который держал меня в неволе 9 лет и обращался со мной жестоко. Мой паспорт остался у сына. Теперь я не могу получить медицинский полис, восстановить документы, получить пенсию, обувь для инвалидов. Прошу вас помочь мне вернуть паспорт в ближайшие сроки. Хочу убедиться, что будущие кандидаты в депутаты реально помогают людям, и будут работать для народа. А наше дело проголосовать за вас.",пандус
улица Первомайская,16,2021-06-12 07:50:13.993,С 1987 года не ремонтировали 3 подъезд. Просьба отремонтировать стены в подъезде,освещение
улица П.В.Дементьева,18 корп. 3,2021-06-08 09:33:16.409,аллею,аллея
улица П.В.Дементьева,18 корп. 2,2021-06-08 10:26:19.696,"возле Дементьева д.22, озеленить и благоустроить парковую зону",детский городок
улица Энтузиастов,14,2021-06-10 15:31:33.171,поставить стол во дворе,брусчатка
улица Энтузиастов,14,2021-07-06 12:47:48.037,Поставить стол во дворе.,аллея
улица Советская,75,2021-06-08 22:37:42.652,Пустой,место тихого отдыха
улица Алексея Талвира,6,2021-06-05 23:46:09.674,Требую установить новую детскую площадку + тротуар по улице Талвира вдоль дома № 4. ,детский городок
улица Ильи Тукташа,5,2021-06-08 17:29:36.247,В нашем районе Благовещенский нет школ. Очень в ней нуждаемся.И постройте спорт площадки не где играть детям футбол.,спортивная площадка
проспект Мира,23А,2021-06-09 10:55:32.941,"улудшить дороги, сделать детскую площадку",детский городок
улица Константина Иванова,78,2021-06-07 16:16:03.539,"наш дом в аварийном состоянии, во дворе после дождя большие лужи",аллея
улица Алексея Талвира,18,2021-06-04 15:59:02.997,"По адресу ул. Алексея Талвира дом 18 благоустроить территорию, обновить детскую площадку, сделать пандус для колясок. Отремонтировать пешеходную дорожку рядом с домами по улице Талвира дома 8, 12, 4 (за домами).",детский городок
бульвар Эгерский,16 корп. 1,2021-06-06 21:49:09.646,Убрать птичьи гнезда,пандус
улица Маршака,12,2021-06-16 23:28:53.539,"для снижение скорости  машин необходимо на дорожном полотне установить лежачего полицейского. 
устроиство тротуара в доль домов 10, 12 до 23. по ул Гагарина

во дворах МКД 13 чапаево и МКД 17 по Гагарина требуется санитарная обрезка деревьев",аллея
бульвар Эгерский,30,2021-06-07 18:40:48.956,"Благоустройство территории
Капитальный ремонт
Ремонт дорог",освещение
улица Воинов интернационалистов,7,2021-06-05 14:34:47.554,В 1 подъезде нужно срочно сделать лифт. И не предупредили выключение горячей воды,освещение
улица Эльменя,30,2021-06-04 22:59:39.222,"школа, ИДН",освещение
проспект Мира,90,2021-06-09 10:59:35.019,Поменять на этажах и в квартирах трубы(капитальный ремонт),пандус
улица Короленко,22 корп. 1,2021-06-05 23:20:46.816,"1)Дорогу заасфальтировать вдоль гаражей
2)вернуть детскую поликлинику",детский городок
улица Пролетарская,5,2021-06-10 02:56:16.084,"Поменять подъездную дверь, асфальтировать дорогу",асфальтовая дорожка
улица Баумана,12,2021-06-10 06:24:23.837,Пополнить тренажеры,спортивная площадка
улица Лукина,4,2021-06-12 20:29:36.466,"автостоянка для жителей "" земляная парковка"" ",парк
улица Коллективная,5 корп. 1,2021-06-09 01:59:26.391,Улучшить детскую площадку,детский городок
улица Богдана Хмельницкого,49,2021-06-07 21:16:17.844,сушилку для белья,брусчатка
переулок Химиков,1,2021-06-08 06:33:43.855,Благоустройство территории дома,освещение
проспект Тракторостроителей,56,2021-06-06 19:30:46.660,Облагородить придомовые территории. Отремонтировать дороги.,зелёные насаждения
улица Строителей,27,2021-06-05 16:54:57.585,Освещение Ельниковской рощи,освещение
улица Советская,12,2021-06-08 14:33:19.876,Отремонтировать дорогу перед домом и детскую площадку,детский городок
улица Советская,77,2021-06-08 23:30:36.143,"1) Информац доска
2) Нет в лифте инф. доски (реклама)
3) Лампа движения на 2 эт. не работает
4) Не убираются в подъезде
5) Парковочные места около дома за домом 
6) Продают табак и табачные изделия (подросткам)!",освещение
улица Николая Рождественского,1,2021-06-07 22:21:23.730,Хотим относиться к школе №2.,пандус
проспект Максима Горького,14,2021-06-07 17:27:32.370,"Поднять зарплаты бюджетникам (учителям, воспитателям).",пандус
бульвар Юго-Западный,5,2021-06-06 22:04:50.524,"народ недоволен.Чувашия выращивает яблоки, ягоды, нужны перерабатывающие заводы. Обидно за Чувашию. Все воруют. прием:Олегу Николаеву",велосипедная дорожка/велодорожка
улица Ивана Франко,7,2021-06-05 19:04:37.220,"Детская площадка
Ремонт дорог",детский городок
улица Лукина,4,2021-06-12 20:13:13.762,"- парковка
- школа",парк
улица Хевешская,15 корп. 1,2021-06-13 19:49:10.491,предлгаю посчитесь площадки заброшеную за стадионом сош 19,спортивная площадка
улица Сельская,39 корп. 3,2021-06-04 11:03:50.096,Сделать лестницу для подъема и спуска по ул. Сельская дом №39/1 - 39/3.,пандус
бульвар Зеленый,3а корп. 1,2021-06-06 10:42:20.540,"ЖК ""Зеленый"" скорее бы решили вопрос по нему. Детям негде играть, вокруг заброшенная стройка",зелёные насаждения
улица Университетская,30,2021-06-08 21:00:31.320,"Нужна детская площадка, нужно видео наблюдение. ",детский городок
улица Университетская,30,2021-06-08 21:02:58.323,"Нужна автостоянка, нужно видеонаблюдение во дворе.",освещение
улица Университетская,30,2021-06-09 09:07:01.653,Требуется ремонт в подъезде,пандус
улица Гагарина Ю.,23,2021-06-07 15:39:02.278,1. Детская площадка рядом с домом ул.Гагарина д.23,детский городок
улица Декабристов,14,2021-06-05 19:23:13.329,Детская площадка,детский городок
бульвар А.Миттова,11,2021-06-11 13:58:30.894,"Строительство детской площадки
Парк, аллея",аллея
улица Пржевальского,4,2021-06-06 20:51:59.702,Отремонтировать дорогу. Пустить новый маршрут. Открыть отделение Сбербанка. Открыть парк развлечения в районе.,парк
бульвар Эгерский,32,2021-06-07 00:25:20.885,Песок на детскую площадку,детский городок
улица Композитора Максимова,9,2021-06-05 22:12:59.998,повысить пенсию,сквер
бульвар Солнечный,14,2021-06-06 10:07:40.682,"Построить школу,ФОК.Дополнительный общественный транспорт. Улучшить детские площадки. Положить через овраг асфальтированную дорогу. Поставить светофоры.",детский городок
улица Терешковой,20,2021-06-07 18:09:41.991,Ремонт крыши,пандус
улица Совхозная (п Лапсары),1 корп. 1,2021-06-10 12:25:44.221,Повышение пенсии,сквер
улица Кулибина,7,2021-06-07 22:59:00.993,"дет.площадку в частн.секторе, нет общей канализации",детский городок
улица Розы Люксембург,8 корп. 1,2021-06-06 12:32:26.234,Ускорить строительство дороги между улицами Люксембург и Южная.,пандус
улица Семена Ислюкова,16,2021-06-04 13:14:41.826,Решить вопрос домостроя рядом с р. Волга.,пандус
улица Космонавта Николаева А.Г.,32,2021-06-13 23:50:37.080,"1. Повышение зарплаты
2. Отремонтировать дороги
3, Ремонт крыши, во время дождя все протекает",освещение
улица Мичмана Павлова,76,2021-06-08 19:36:48.614,Нужен небольшой скейт-парк.,парк
улица Кадыкова,17,2021-06-08 20:31:27.635,Ремонт дорог,пандус
проспект Ленина,58 корп. 14,2021-06-13 19:03:19.665,"отремонтировать дороги  вокруг дома.
облогородить детскую площадка",детский городок
улица Терешковой,14,2021-06-10 14:12:57.162,"Лестница во 2 подъезде требует реконструкцию, можно сломать ногу, косметический ремонт в подъезде. МАФ. Отсутствует покрытие на детской площадке",детский городок
улица Родниковая,2,2021-06-06 14:37:55.777,Просим вас оказать содействие с оформлением земельных участков под своими жилыми домами и придомовой территории.,аллея
улица Калинина,102 корп. 1,2021-06-06 21:09:02.434,Скамейки,спортивная площадка
улица Хузангая,7,2021-06-13 00:05:58.118,"Хотелось бы улучшить наш двор, он в ужасном состоянии, детям негде играть.",игровая площадка
улица Спиридона Михайлова,1,2021-06-12 20:18:35.460,"Образование
уровень учителей соответствовали требованиям",освещение
улица Эльменя,36,2021-06-04 20:31:12.119,видеокамеру,освещение
бульвар Эгерский,59,2021-06-11 17:49:45.338,"Благоустройство дворовой территории., улучшить вопрос с стоянками машин во дворе.",освещение
улица Космонавта Николаева А.Г.,46 корп. 1,2021-06-07 13:24:11.723,Отменить все меры от короновируса ,пандус
улица Советская,50А,2021-06-05 21:33:38.914,"Дороги нет, пешеходной дороги",аллея
улица Гагарина Ю.,30,2021-06-08 12:39:31.776,"Детская площадка
Ремонт тротуара",детский городок
проспект Тракторостроителей,71,2021-06-08 21:07:57.901,Доделать дорогу до конца,пандус
бульвар Гидростроителей,4,2021-06-14 17:25:57.948,"ТРЦ ""Заря"" дорога плохая, нужны цветы возле памятника ВОВ",брусчатка
